Group,Variables,Value
7,cee_aw,"3.85, 6.21"
7,ed_aw,"2.66, 6"
7,pn1,"2.62, 7"
7,pn2,"2.62, 7"
7,pn3,"2.62, 7"
7,sn1,"1, 5.66"
7,sn2,"1, 5.66"
7,sn3,"1, 5.66"
7,pbcI1,"1.6, 6.6"
7,pbcI2,"1.6, 6.6"
7,pbcI3,"1.6, 6.6"
7,pbcC1,"1, 7"
7,pbcC2,"1, 7"
7,pbcC3,"1, 7"
7,pbcS1,"3, 6"
7,pbcS2,"3, 6"
7,pbcS3,"3, 6"
7,ene_pat1,"1, 3"
7,ene_pat2,"1, 3"
7,ene_pat3,"1, 3"
7,erI1,"-0.03, -0.01"
7,erI2,"-0.02, 0"
7,erI3,"-0.04, -0.02"
7,erC1,"-0.04, -0.03"
7,erC2,"-0.06, -0.03"
7,erC3,"-0.03, -0.01"
7,erS1,"-0.01, -0.01"
7,erS2,"-0.02, -0.01"
7,erS3,"-0.01, -0.01"
