BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
17,bikelane,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.808571373,2.131477517,2.454383661,2.777289805,3.100195949,3.423102093,3.746008237,4.068914381,4.391820525,4.714726669,5.037632813,5.360538957,5.683445102,6.006351246,6.32925739,6.652163534,6.975069678,7.297975822,7.620881966,7.94378811,8.266694254,8.589600398,8.912506542,9.235412686,9.55831883
18,bikelane,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.389065512,2.6877844,2.986503289,3.285222177,3.583941065,3.882659953,4.181378842,4.48009773,4.778816618,5.077535506,5.376254395,5.674973283,5.973692171,6.272411059,6.571129948,6.869848836,7.168567724,7.467286612,7.766005501,8.064724389,8.363443277,8.662162165,8.960881054,9.259599942,9.55831883
19,bikelane,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.339326119,2.640117482,2.940908845,3.241700208,3.542491571,3.843282934,4.144074297,4.44486566,4.745657023,5.046448386,5.347239749,5.648031112,5.948822474,6.249613837,6.5504052,6.851196563,7.151987926,7.452779289,7.753570652,8.054362015,8.355153378,8.655944741,8.956736104,9.257527467,9.55831883
20,bikelane,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.519843575,5.688113378,5.85638318,6.024652982,6.192922784,6.361192587,6.529462389,6.697732191,6.866001994,7.034271796,7.202541598,7.3708114,7.539081203,7.707351005,7.875620807,8.043890609,8.212160412,8.380430214,8.548700016,8.716969819,8.885239621,9.053509423,9.221779225,9.390049028,9.55831883
21,bikelane,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.586023873,3.834869496,4.08371512,4.332560743,4.581406366,4.830251989,5.079097612,5.327943236,5.576788859,5.825634482,6.074480105,6.323325728,6.572171352,6.821016975,7.069862598,7.318708221,7.567553844,7.816399468,8.065245091,8.314090714,8.562936337,8.81178196,9.060627584,9.309473207,9.55831883
22,bikelane,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.623155375,2.912120519,3.201085663,3.490050807,3.779015951,4.067981095,4.356946239,4.645911383,4.934876527,5.223841671,5.512806815,5.801771959,6.090737102,6.379702246,6.66866739,6.957632534,7.246597678,7.535562822,7.824527966,8.11349311,8.402458254,8.691423398,8.980388542,9.269353686,9.55831883
23,bikelane,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.71309788,2.998315419,3.283532959,3.568750498,3.853968038,4.139185578,4.424403117,4.709620657,4.994838196,5.280055736,5.565273276,5.850490815,6.135708355,6.420925894,6.706143434,6.991360974,7.276578513,7.561796053,7.847013592,8.132231132,8.417448672,8.702666211,8.987883751,9.27310129,9.55831883
1,pedestz,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049
2,pedestz,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.005571864,0.007308371,0.009044879,0.010781387,0.012517895,0.014254402,0.01599091,0.017727418,0.019463925,0.021200433,0.022936941,0.024673449,0.026409956,0.028146464,0.029882972,0.03161948,0.033355987,0.035092495,0.036829003,0.03856551,0.040302018,0.042038526,0.043775034,0.045511541,0.047248049
3,pedestz,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.003774763,0.00558615,0.007397537,0.009208924,0.011020311,0.012831698,0.014643084,0.016454471,0.018265858,0.020077245,0.021888632,0.023700019,0.025511406,0.027322793,0.02913418,0.030945567,0.032756954,0.034568341,0.036379727,0.038191114,0.040002501,0.041813888,0.043625275,0.045436662,0.047248049
4,pedestz,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,9.51E-03,1.11E-02,1.27E-02,1.42E-02,1.58E-02,1.74E-02,1.89E-02,2.05E-02,2.21E-02,2.36E-02,2.52E-02,2.68E-02,2.84E-02,2.99E-02,3.15E-02,3.31E-02,3.46E-02,3.62E-02,3.78E-02,3.93E-02,4.09E-02,4.25E-02,4.41E-02,4.56E-02,4.72E-02
5,pedestz,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.017573678,0.01881011,0.020046542,0.021282974,0.022519407,0.023755839,0.024992271,0.026228703,0.027465135,0.028701567,0.029937999,0.031174431,0.032410864,0.033647296,0.034883728,0.03612016,0.037356592,0.038593024,0.039829456,0.041065888,0.042302321,0.043538753,0.044775185,0.046011617,0.047248049
6,pedestz,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.021432298,0.022507955,0.023583611,0.024659267,0.025734923,0.02681058,0.027886236,0.028961892,0.030037549,0.031113205,0.032188861,0.033264517,0.034340174,0.03541583,0.036491486,0.037567142,0.038642799,0.039718455,0.040794111,0.041869768,0.042945424,0.04402108,0.045096736,0.046172393,0.047248049
7,pedestz,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.016382081,0.017668163,0.018954245,0.020240327,0.021526409,0.022812491,0.024098573,0.025384655,0.026670737,0.027956819,0.029242901,0.030528983,0.031815065,0.033101147,0.034387229,0.035673311,0.036959393,0.038245475,0.039531557,0.040817639,0.042103721,0.043389803,0.044675885,0.045961967,0.047248049
8,pedestz,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.011670017,0.013152435,0.014634853,0.016117271,0.017599689,0.019082107,0.020564525,0.022046943,0.023529361,0.025011779,0.026494197,0.027976615,0.029459033,0.030941451,0.032423869,0.033906287,0.035388705,0.036871123,0.038353541,0.039835959,0.041318377,0.042800795,0.044283213,0.045765631,0.047248049
9,pedestz,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.009848128,0.011406458,0.012964788,0.014523118,0.016081448,0.017639778,0.019198108,0.020756438,0.022314768,0.023873098,0.025431428,0.026989758,0.028548089,0.030106419,0.031664749,0.033223079,0.034781409,0.036339739,0.037898069,0.039456399,0.041014729,0.042573059,0.044131389,0.045689719,0.047248049
10,pedestz,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.004369925,0.006156514,0.007943102,0.009729691,0.011516279,0.013302868,0.015089456,0.016876045,0.018662633,0.020449222,0.02223581,0.024022399,0.025808987,0.027595576,0.029382164,0.031168753,0.032955341,0.03474193,0.036528518,0.038315107,0.040101695,0.041888284,0.043674872,0.045461461,0.047248049
11,pedestz,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.003114273,0.004953181,0.006792088,0.008630995,0.010469903,0.01230881,0.014147717,0.015986625,0.017825532,0.019664439,0.021503347,0.023342254,0.025181161,0.027020068,0.028858976,0.030697883,0.03253679,0.034375698,0.036214605,0.038053512,0.03989242,0.041731327,0.043570234,0.045409142,0.047248049
12,pedestz,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.008339034,0.009960243,0.011581452,0.013202661,0.01482387,0.016445079,0.018066288,0.019687497,0.021308706,0.022929915,0.024551124,0.026172333,0.027793541,0.02941475,0.031035959,0.032657168,0.034278377,0.035899586,0.037520795,0.039142004,0.040763213,0.042384422,0.044005631,0.04562684,0.047248049
13,pedestz,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,2.86E-03,4.71E-03,6.55E-03,8.40E-03,1.02E-02,1.21E-02,1.39E-02,1.58E-02,1.76E-02,1.95E-02,2.13E-02,2.32E-02,2.50E-02,2.69E-02,2.87E-02,3.06E-02,3.24E-02,3.43E-02,3.61E-02,3.80E-02,3.98E-02,4.17E-02,4.35E-02,4.54E-02,4.72E-02
14,pedestz,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.002272844,0.004146811,0.006020778,0.007894745,0.009768711,0.011642678,0.013516645,0.015390612,0.017264579,0.019138546,0.021012513,0.02288648,0.024760446,0.026634413,0.02850838,0.030382347,0.032256314,0.034130281,0.036004248,0.037878215,0.039752181,0.041626148,0.043500115,0.045374082,0.047248049
15,pedestz,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.011916734,0.013388872,0.01486101,0.016333148,0.017805287,0.019277425,0.020749563,0.022221701,0.023693839,0.025165977,0.026638115,0.028110253,0.029582392,0.03105453,0.032526668,0.033998806,0.035470944,0.036943082,0.03841522,0.039887358,0.041359497,0.042831635,0.044303773,0.045775911,0.047248049
16,pedestz,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.007085952,0.008759372,0.010432793,0.012106214,0.013779635,0.015453055,0.017126476,0.018799897,0.020473317,0.022146738,0.023820159,0.02549358,0.027167,0.028840421,0.030513842,0.032187263,0.033860683,0.035534104,0.037207525,0.038880945,0.040554366,0.042227787,0.043901208,0.045574628,0.047248049
17,pedestz,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00276068,0.004614321,0.006467961,0.008321601,0.010175242,0.012028882,0.013882523,0.015736163,0.017589803,0.019443444,0.021297084,0.023150724,0.025004365,0.026858005,0.028711645,0.030565286,0.032418926,0.034272566,0.036126207,0.037979847,0.039833488,0.041687128,0.043540768,0.045394409,0.047248049
18,pedestz,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.00589258,0.007615724,0.009338869,0.011062013,0.012785158,0.014508302,0.016231447,0.017954591,0.019677736,0.021400881,0.023124025,0.02484717,0.026570314,0.028293459,0.030016603,0.031739748,0.033462893,0.035186037,0.036909182,0.038632326,0.040355471,0.042078615,0.04380176,0.045524904,0.047248049
19,pedestz,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,2.25E-03,4.12E-03,6.00E-03,7.87E-03,9.74E-03,1.16E-02,1.35E-02,1.54E-02,1.72E-02,1.91E-02,2.10E-02,2.29E-02,2.47E-02,2.66E-02,2.85E-02,3.03E-02,3.22E-02,3.41E-02,3.60E-02,3.78E-02,3.97E-02,4.16E-02,4.35E-02,4.53E-02,4.72E-02
20,pedestz,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.008033914,0.009667837,0.011301759,0.012935681,0.014569603,0.016203526,0.017837448,0.01947137,0.021105293,0.022739215,0.024373137,0.026007059,0.027640982,0.029274904,0.030908826,0.032542748,0.034176671,0.035810593,0.037444515,0.039078438,0.04071236,0.042346282,0.043980204,0.045614127,0.047248049
21,pedestz,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.002292293,0.004165449,0.006038606,0.007911762,0.009784919,0.011658075,0.013531232,0.015404388,0.017277545,0.019150701,0.021023858,0.022897014,0.024770171,0.026643327,0.028516484,0.03038964,0.032262797,0.034135953,0.03600911,0.037882266,0.039755423,0.041628579,0.043501736,0.045374892,0.047248049
22,pedestz,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.00248303,0.004348239,0.006213448,0.008078657,0.009943867,0.011809076,0.013674285,0.015539494,0.017404703,0.019269912,0.021135121,0.02300033,0.02486554,0.026730749,0.028595958,0.030461167,0.032326376,0.034191585,0.036056794,0.037922003,0.039787213,0.041652422,0.043517631,0.04538284,0.047248049
23,pedestz,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,2.40E-03,4.26E-03,6.13E-03,8.00E-03,9.86E-03,1.17E-02,1.36E-02,1.55E-02,1.73E-02,1.92E-02,2.11E-02,2.29E-02,2.48E-02,2.67E-02,2.85E-02,3.04E-02,3.23E-02,3.41E-02,3.60E-02,3.79E-02,3.97E-02,4.16E-02,4.35E-02,4.53E-02,4.72E-02
1,park,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809
2,park,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977
3,park,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.093535737,0.094622156,0.095708576,0.096794996,0.097881415,0.098967835,0.100054255,0.101140674,0.102227094,0.103313514,0.104399933,0.105486353,0.106572773,0.107659193,0.108745612,0.109832032,0.110918452,0.112004871,0.113091291,0.114177711,0.11526413,0.11635055,0.11743697,0.118523389,0.119609809
4,park,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.065852657,0.068092539,0.07033242,0.072572301,0.074812183,0.077052064,0.079291945,0.081531827,0.083771708,0.086011589,0.088251471,0.090491352,0.092731233,0.094971114,0.097210996,0.099450877,0.101690758,0.10393064,0.106170521,0.108410402,0.110650284,0.112890165,0.115130046,0.117369928,0.119609809
5,park,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.055104105,0.057791842,0.06047958,0.063167318,0.065855055,0.068542793,0.071230531,0.073918268,0.076606006,0.079293744,0.081981481,0.084669219,0.087356957,0.090044695,0.092732432,0.09542017,0.098107908,0.100795645,0.103483383,0.106171121,0.108858858,0.111546596,0.114234334,0.116922071,0.119609809
6,park,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.039876376,0.043198603,0.046520829,0.049843055,0.053165282,0.056487508,0.059809735,0.063131961,0.066454187,0.069776414,0.07309864,0.076420866,0.079743093,0.083065319,0.086387545,0.089709772,0.093031998,0.096354224,0.099676451,0.102998677,0.106320904,0.10964313,0.112965356,0.116287583,0.119609809
7,park,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.041435743,0.044692996,0.047950248,0.051207501,0.054464754,0.057722007,0.060979259,0.064236512,0.067493765,0.070751018,0.07400827,0.077265523,0.080522776,0.083780029,0.087037281,0.090294534,0.093551787,0.09680904,0.100066292,0.103323545,0.106580798,0.109838051,0.113095303,0.116352556,0.119609809
8,park,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.036328837,0.039798878,0.043268918,0.046738959,0.050208999,0.05367904,0.05714908,0.060619121,0.064089161,0.067559202,0.071029242,0.074499283,0.077969323,0.081439364,0.084909404,0.088379445,0.091849485,0.095319526,0.098789566,0.102259607,0.105729647,0.109199688,0.112669728,0.116139769,0.119609809
9,park,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.084943642,0.086388065,0.087832489,0.089276913,0.090721336,0.09216576,0.093610183,0.095054607,0.096499031,0.097943454,0.099387878,0.100832302,0.102276725,0.103721149,0.105165573,0.106609996,0.10805442,0.109498844,0.110943267,0.112387691,0.113832114,0.115276538,0.116720962,0.118165385,0.119609809
10,park,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335
11,park,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.079388321,0.081064217,0.082740112,0.084416007,0.086091903,0.087767798,0.089443693,0.091119589,0.092795484,0.094471379,0.096147275,0.09782317,0.099499065,0.10117496,0.102850856,0.104526751,0.106202646,0.107878542,0.109554437,0.111230332,0.112906228,0.114582123,0.116258018,0.117933914,0.119609809
12,park,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.041511377,0.044765479,0.04801958,0.051273681,0.054527783,0.057781884,0.061035985,0.064290087,0.067544188,0.070798289,0.074052391,0.077306492,0.080560593,0.083814694,0.087068796,0.090322897,0.093576998,0.0968311,0.100085201,0.103339302,0.106593404,0.109847505,0.113101606,0.116355708,0.119609809
