BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
11,bikelane,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969
12,bikelane,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563
13,bikelane,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081
14,bikelane,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636
15,bikelane,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077
16,bikelane,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524
17,bikelane,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229
18,bikelane,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624
19,bikelane,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756
20,bikelane,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773
21,bikelane,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825
22,bikelane,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231
23,bikelane,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034
1,pedestz,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049
2,pedestz,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356
3,pedestz,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376
4,pedestz,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03
5,pedestz,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246
6,pedestz,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642
7,pedestz,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999
8,pedestz,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599
9,pedestz,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798
10,pedestz,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337
11,pedestz,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366
12,pedestz,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825
13,pedestz,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03
14,pedestz,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877
15,pedestz,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596
16,pedestz,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531
17,pedestz,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704
18,pedestz,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435
19,pedestz,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04
20,pedestz,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992
21,pedestz,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136
22,pedestz,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821
23,pedestz,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04,5.31E-04
1,park,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809,0.119609809
2,park,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977,0.307510977
3,park,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317,0.092449317
4,park,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776,0.063612776
5,park,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367,0.052416367
6,park,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415,0.03655415
7,park,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849,0.03817849
8,park,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797,0.032858797
9,park,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218,0.083499218
10,park,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335,0.190053335
11,park,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426,0.077712426
12,park,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276,0.038257276
