BEZNR,Infrastructure,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
11,bikelane,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.604527969,2.803207708,3.001887447,3.200567186,3.399246925,3.597926663,3.796606402,3.995286141,4.19396588,4.392645619,4.591325358,4.790005097,4.988684836,5.187364575,5.386044313,5.584724052,5.783403791,5.98208353,6.180763269,6.379443008,6.578122747,6.776802486,6.975482224,7.174161963,7.372841702,7.571521441,7.77020118,7.968880919,8.167560658,8.366240397,8.564920136,8.763599874,8.962279613,9.160959352,9.359639091,9.55831883
12,bikelane,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.505870563,4.650226228,4.794581893,4.938937557,5.083293222,5.227648887,5.372004552,5.516360216,5.660715881,5.805071546,5.949427211,6.093782875,6.23813854,6.382494205,6.52684987,6.671205535,6.815561199,6.959916864,7.104272529,7.248628194,7.392983858,7.537339523,7.681695188,7.826050853,7.970406518,8.114762182,8.259117847,8.403473512,8.547829177,8.692184841,8.836540506,8.980896171,9.125251836,9.2696075,9.413963165,9.55831883
13,bikelane,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.121858081,1.362899817,1.603941552,1.844983288,2.086025024,2.327066759,2.568108495,2.809150231,3.050191966,3.291233702,3.532275438,3.773317174,4.014358909,4.255400645,4.496442381,4.737484116,4.978525852,5.219567588,5.460609323,5.701651059,5.942692795,6.18373453,6.424776266,6.665818002,6.906859737,7.147901473,7.388943209,7.629984945,7.87102668,8.112068416,8.353110152,8.594151887,8.835193623,9.076235359,9.317277094,9.55831883
14,bikelane,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.495676636,1.726037842,1.956399047,2.186760253,2.417121458,2.647482664,2.877843869,3.108205075,3.33856628,3.568927486,3.799288691,4.029649897,4.260011103,4.490372308,4.720733514,4.951094719,5.181455925,5.41181713,5.642178336,5.872539541,6.102900747,6.333261952,6.563623158,6.793984363,7.024345569,7.254706775,7.48506798,7.715429186,7.945790391,8.176151597,8.406512802,8.636874008,8.867235213,9.097596419,9.327957624,9.55831883
15,bikelane,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.834588077,3.998123241,4.161658406,4.32519357,4.488728734,4.652263899,4.815799063,4.979334228,5.142869392,5.306404556,5.469939721,5.633474885,5.797010049,5.960545214,6.124080378,6.287615543,6.451150707,6.614685871,6.778221036,6.9417562,7.105291364,7.268826529,7.432361693,7.595896858,7.759432022,7.922967186,8.086502351,8.250037515,8.413572679,8.577107844,8.740643008,8.904178173,9.067713337,9.231248501,9.394783666,9.55831883
16,bikelane,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.057080524,2.271401618,2.485722713,2.700043807,2.914364902,3.128685996,3.343007091,3.557328185,3.77164928,3.985970374,4.200291469,4.414612563,4.628933657,4.843254752,5.057575846,5.271896941,5.486218035,5.70053913,5.914860224,6.129181319,6.343502413,6.557823508,6.772144602,6.986465697,7.200786791,7.415107885,7.62942898,7.843750074,8.058071169,8.272392263,8.486713358,8.701034452,8.915355547,9.129676641,9.343997736,9.55831883
17,bikelane,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.485665229,1.716312475,1.94695972,2.177606966,2.408254212,2.638901458,2.869548703,3.100195949,3.330843195,3.561490441,3.792137686,4.022784932,4.253432178,4.484079424,4.714726669,4.945373915,5.176021161,5.406668407,5.637315652,5.867962898,6.098610144,6.32925739,6.559904635,6.790551881,7.021199127,7.251846373,7.482493618,7.713140864,7.94378811,8.174435356,8.405082601,8.635729847,8.866377093,9.097024339,9.327671584,9.55831883
18,bikelane,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.090346624,2.303717258,2.517087893,2.730458527,2.943829162,3.157199796,3.370570431,3.583941065,3.7973117,4.010682334,4.224052969,4.437423603,4.650794237,4.864164872,5.077535506,5.290906141,5.504276775,5.71764741,5.931018044,6.144388679,6.357759313,6.571129948,6.784500582,6.997871217,7.211241851,7.424612485,7.63798312,7.851353754,8.064724389,8.278095023,8.491465658,8.704836292,8.918206927,9.131577561,9.344948196,9.55831883
19,bikelane,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.038534756,2.25338573,2.468236703,2.683087677,2.89793865,3.112789624,3.327640597,3.542491571,3.757342544,3.972193518,4.187044491,4.401895465,4.616746439,4.831597412,5.046448386,5.261299359,5.476150333,5.691001306,5.90585228,6.120703253,6.335554227,6.5504052,6.765256174,6.980107147,7.194958121,7.409809095,7.624660068,7.839511042,8.054362015,8.269212989,8.484063962,8.698914936,8.913765909,9.128616883,9.343467856,9.55831883
20,bikelane,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.351573773,5.471766489,5.591959205,5.712151921,5.832344637,5.952537353,6.072730068,6.192922784,6.3131155,6.433308216,6.553500932,6.673693648,6.793886364,6.91407908,7.034271796,7.154464512,7.274657228,7.394849944,7.515042659,7.635235375,7.755428091,7.875620807,7.995813523,8.116006239,8.236198955,8.356391671,8.476584387,8.596777103,8.716969819,8.837162535,8.95735525,9.077547966,9.197740682,9.317933398,9.438126114,9.55831883
21,bikelane,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.33717825,3.514925124,3.692671997,3.870418871,4.048165745,4.225912619,4.403659492,4.581406366,4.75915324,4.936900113,5.114646987,5.292393861,5.470140735,5.647887608,5.825634482,6.003381356,6.181128229,6.358875103,6.536621977,6.714368851,6.892115724,7.069862598,7.247609472,7.425356345,7.603103219,7.780850093,7.958596967,8.13634384,8.314090714,8.491837588,8.669584461,8.847331335,9.025078209,9.202825083,9.380571956,9.55831883
22,bikelane,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.334190231,2.540593905,2.74699758,2.953401254,3.159804928,3.366208602,3.572612277,3.779015951,3.985419625,4.191823299,4.398226974,4.604630648,4.811034322,5.017437996,5.223841671,5.430245345,5.636649019,5.843052693,6.049456368,6.255860042,6.462263716,6.66866739,6.875071065,7.081474739,7.287878413,7.494282087,7.700685762,7.907089436,8.11349311,8.319896784,8.526300459,8.732704133,8.939107807,9.145511481,9.351915156,9.55831883
23,bikelane,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.42788034,2.631607154,2.835333968,3.039060782,3.242787596,3.44651441,3.650241224,3.853968038,4.057694852,4.261421666,4.46514848,4.668875294,4.872602108,5.076328922,5.280055736,5.48378255,5.687509364,5.891236178,6.094962992,6.298689806,6.50241662,6.706143434,6.909870248,7.113597062,7.317323876,7.52105069,7.724777504,7.928504318,8.132231132,8.335957946,8.53968476,8.743411574,8.947138388,9.150865202,9.354592016,9.55831883
1,pedestz,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049,0.047248049
2,pedestz,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.003835356,0.005075719,0.006316081,0.007556444,0.008796807,0.010037169,0.011277532,0.012517895,0.013758257,0.01499862,0.016238983,0.017479345,0.018719708,0.019960071,0.021200433,0.022440796,0.023681159,0.024921521,0.026161884,0.027402246,0.028642609,0.029882972,0.031123334,0.032363697,0.03360406,0.034844422,0.036084785,0.037325148,0.03856551,0.039805873,0.041046236,0.042286598,0.043526961,0.044767324,0.046007686,0.047248049
3,pedestz,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.001963376,0.003257224,0.004551072,0.005844919,0.007138767,0.008432615,0.009726463,0.011020311,0.012314158,0.013608006,0.014901854,0.016195702,0.01748955,0.018783397,0.020077245,0.021371093,0.022664941,0.023958789,0.025252636,0.026546484,0.027840332,0.02913418,0.030428028,0.031721875,0.033015723,0.034309571,0.035603419,0.036897267,0.038191114,0.039484962,0.04077881,0.042072658,0.043366506,0.044660353,0.045954201,0.047248049
4,pedestz,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,7.94E-03,9.06E-03,1.02E-02,1.13E-02,1.24E-02,1.35E-02,1.47E-02,1.58E-02,1.69E-02,1.80E-02,1.92E-02,2.03E-02,2.14E-02,2.25E-02,2.36E-02,2.48E-02,2.59E-02,2.70E-02,2.81E-02,2.93E-02,3.04E-02,3.15E-02,3.26E-02,3.37E-02,3.49E-02,3.60E-02,3.71E-02,3.82E-02,3.93E-02,4.05E-02,4.16E-02,4.27E-02,4.38E-02,4.50E-02,4.61E-02,4.72E-02
5,pedestz,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.016337246,0.017220412,0.018103578,0.018986743,0.019869909,0.020753075,0.021636241,0.022519407,0.023402572,0.024285738,0.025168904,0.02605207,0.026935236,0.027818401,0.028701567,0.029584733,0.030467899,0.031351065,0.03223423,0.033117396,0.034000562,0.034883728,0.035766894,0.036650059,0.037533225,0.038416391,0.039299557,0.040182723,0.041065888,0.041949054,0.04283222,0.043715386,0.044598552,0.045481717,0.046364883,0.047248049
6,pedestz,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.020356642,0.021124968,0.021893294,0.02266162,0.023429946,0.024198272,0.024966597,0.025734923,0.026503249,0.027271575,0.028039901,0.028808227,0.029576553,0.030344879,0.031113205,0.031881531,0.032649857,0.033418183,0.034186508,0.034954834,0.03572316,0.036491486,0.037259812,0.038028138,0.038796464,0.03956479,0.040333116,0.041101442,0.041869768,0.042638094,0.043406419,0.044174745,0.044943071,0.045711397,0.046479723,0.047248049
7,pedestz,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.015095999,0.016014629,0.016933259,0.017851889,0.018770519,0.019689149,0.020607779,0.021526409,0.022445039,0.023363669,0.024282299,0.025200929,0.026119559,0.027038189,0.027956819,0.028875449,0.029794079,0.030712709,0.031631339,0.032549969,0.033468599,0.034387229,0.035305859,0.036224489,0.037143119,0.038061749,0.038980379,0.039899009,0.040817639,0.041736269,0.042654899,0.043573529,0.044492159,0.045410789,0.046329419,0.047248049
8,pedestz,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.010187599,0.011246469,0.012305339,0.013364209,0.014423079,0.015481949,0.016540819,0.017599689,0.018658559,0.019717429,0.020776299,0.021835169,0.022894039,0.023952909,0.025011779,0.026070649,0.027129519,0.028188389,0.029247259,0.030306129,0.031364999,0.032423869,0.033482739,0.034541609,0.035600479,0.036659349,0.037718219,0.038777089,0.039835959,0.040894829,0.041953699,0.043012569,0.044071439,0.045130309,0.046189179,0.047248049
9,pedestz,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.008289798,0.009402891,0.010515984,0.011629077,0.01274217,0.013855262,0.014968355,0.016081448,0.017194541,0.018307634,0.019420727,0.02053382,0.021646913,0.022760006,0.023873098,0.024986191,0.026099284,0.027212377,0.02832547,0.029438563,0.030551656,0.031664749,0.032777841,0.033890934,0.035004027,0.03611712,0.037230213,0.038343306,0.039456399,0.040569492,0.041682585,0.042795677,0.04390877,0.045021863,0.046134956,0.047248049
10,pedestz,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.002583337,0.003859472,0.005135606,0.006411741,0.007687876,0.00896401,0.010240145,0.011516279,0.012792414,0.014068549,0.015344683,0.016620818,0.017896953,0.019173087,0.020449222,0.021725356,0.023001491,0.024277626,0.02555376,0.026829895,0.02810603,0.029382164,0.030658299,0.031934433,0.033210568,0.034486703,0.035762837,0.037038972,0.038315107,0.039591241,0.040867376,0.04214351,0.043419645,0.04469578,0.045971914,0.047248049
11,pedestz,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.001275366,0.002588871,0.003902376,0.005215882,0.006529387,0.007842892,0.009156397,0.010469903,0.011783408,0.013096913,0.014410418,0.015723924,0.017037429,0.018350934,0.019664439,0.020977944,0.02229145,0.023604955,0.02491846,0.026231965,0.027545471,0.028858976,0.030172481,0.031485986,0.032799491,0.034112997,0.035426502,0.036740007,0.038053512,0.039367018,0.040680523,0.041994028,0.043307533,0.044621039,0.045934544,0.047248049
12,pedestz,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.006717825,0.007875831,0.009033838,0.010191844,0.011349851,0.012507857,0.013665863,0.01482387,0.015981876,0.017139883,0.018297889,0.019455895,0.020613902,0.021771908,0.022929915,0.024087921,0.025245927,0.026403934,0.02756194,0.028719947,0.029877953,0.031035959,0.032193966,0.033351972,0.034509979,0.035667985,0.036825991,0.037983998,0.039142004,0.040300011,0.041458017,0.042616023,0.04377403,0.044932036,0.046090043,0.047248049
13,pedestz,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,1.01E-03,2.33E-03,3.65E-03,4.97E-03,6.29E-03,7.61E-03,8.93E-03,1.02E-02,1.16E-02,1.29E-02,1.42E-02,1.55E-02,1.68E-02,1.82E-02,1.95E-02,2.08E-02,2.21E-02,2.34E-02,2.48E-02,2.61E-02,2.74E-02,2.87E-02,3.00E-02,3.14E-02,3.27E-02,3.40E-02,3.53E-02,3.66E-02,3.80E-02,3.93E-02,4.06E-02,4.19E-02,4.32E-02,4.46E-02,4.59E-02,4.72E-02
14,pedestz,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.000398877,0.001737425,0.003075973,0.00441452,0.005753068,0.007091616,0.008430164,0.009768711,0.011107259,0.012445807,0.013784355,0.015122902,0.01646145,0.017799998,0.019138546,0.020477094,0.021815641,0.023154189,0.024492737,0.025831285,0.027169832,0.02850838,0.029846928,0.031185476,0.032524024,0.033862571,0.035201119,0.036539667,0.037878215,0.039216762,0.04055531,0.041893858,0.043232406,0.044570953,0.045909501,0.047248049
15,pedestz,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.010444596,0.011496123,0.01254765,0.013599178,0.014650705,0.015702232,0.016753759,0.017805287,0.018856814,0.019908341,0.020959868,0.022011396,0.023062923,0.02411445,0.025165977,0.026217504,0.027269032,0.028320559,0.029372086,0.030423613,0.031475141,0.032526668,0.033578195,0.034629722,0.035681249,0.036732777,0.037784304,0.038835831,0.039887358,0.040938886,0.041990413,0.04304194,0.044093467,0.045144995,0.046196522,0.047248049
16,pedestz,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.005412531,0.006607832,0.007803132,0.008998433,0.010193733,0.011389034,0.012584334,0.013779635,0.014974935,0.016170236,0.017365536,0.018560837,0.019756137,0.020951438,0.022146738,0.023342039,0.024537339,0.02573264,0.02692794,0.028123241,0.029318541,0.030513842,0.031709142,0.032904443,0.034099743,0.035295044,0.036490344,0.037685645,0.038880945,0.040076246,0.041271546,0.042466847,0.043662147,0.044857448,0.046052748,0.047248049
17,pedestz,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.00090704,0.002231069,0.003555098,0.004879126,0.006203155,0.007527184,0.008851213,0.010175242,0.011499271,0.012823299,0.014147328,0.015471357,0.016795386,0.018119415,0.019443444,0.020767472,0.022091501,0.02341553,0.024739559,0.026063588,0.027387617,0.028711645,0.030035674,0.031359703,0.032683732,0.034007761,0.03533179,0.036655818,0.037979847,0.039303876,0.040627905,0.041951934,0.043275963,0.044599991,0.04592402,0.047248049
18,pedestz,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.004169435,0.005400253,0.00663107,0.007861888,0.009092705,0.010323523,0.01155434,0.012785158,0.014015975,0.015246793,0.01647761,0.017708428,0.018939246,0.020170063,0.021400881,0.022631698,0.023862516,0.025093333,0.026324151,0.027554968,0.028785786,0.030016603,0.031247421,0.032478238,0.033709056,0.034939874,0.036170691,0.037401509,0.038632326,0.039863144,0.041093961,0.042324779,0.043555596,0.044786414,0.046017231,0.047248049
19,pedestz,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,3.79E-04,1.72E-03,3.05E-03,4.39E-03,5.73E-03,7.07E-03,8.41E-03,9.74E-03,1.11E-02,1.24E-02,1.38E-02,1.51E-02,1.64E-02,1.78E-02,1.91E-02,2.04E-02,2.18E-02,2.31E-02,2.45E-02,2.58E-02,2.71E-02,2.85E-02,2.98E-02,3.11E-02,3.25E-02,3.38E-02,3.52E-02,3.65E-02,3.78E-02,3.92E-02,4.05E-02,4.18E-02,4.32E-02,4.45E-02,4.59E-02,4.72E-02
20,pedestz,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.006399992,0.007567079,0.008734167,0.009901254,0.011068341,0.012235429,0.013402516,0.014569603,0.015736691,0.016903778,0.018070865,0.019237953,0.02040504,0.021572127,0.022739215,0.023906302,0.025073389,0.026240477,0.027407564,0.028574652,0.029741739,0.030908826,0.032075914,0.033243001,0.034410088,0.035577176,0.036744263,0.03791135,0.039078438,0.040245525,0.041412612,0.0425797,0.043746787,0.044913874,0.046080962,0.047248049
21,pedestz,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.000419136,0.001757105,0.003095074,0.004433043,0.005771012,0.007108981,0.00844695,0.009784919,0.011122888,0.012460856,0.013798825,0.015136794,0.016474763,0.017812732,0.019150701,0.02048867,0.021826639,0.023164608,0.024502577,0.025840546,0.027178515,0.028516484,0.029854453,0.031192422,0.032530391,0.03386836,0.035206329,0.036544297,0.037882266,0.039220235,0.040558204,0.041896173,0.043234142,0.044572111,0.04591008,0.047248049
22,pedestz,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.000617821,0.001950113,0.003282405,0.004614698,0.00594699,0.007279282,0.008611574,0.009943867,0.011276159,0.012608451,0.013940743,0.015273036,0.016605328,0.01793762,0.019269912,0.020602204,0.021934497,0.023266789,0.024599081,0.025931373,0.027263666,0.028595958,0.02992825,0.031260542,0.032592834,0.033925127,0.035257419,0.036589711,0.037922003,0.039254296,0.040586588,0.04191888,0.043251172,0.044583465,0.045915757,0.047248049
