Quarters,Knowledge,Motivation,Consideration,Action,Habit,Label
33,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
34,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
35,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
36,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
37,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
38,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
39,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
40,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
41,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
42,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
43,240,211,79,41,0,"Informative-all, Gradual, Not-Implemented"
44,240,211,78,42,0,"Informative-all, Gradual, Not-Implemented"
45,240,211,78,42,0,"Informative-all, Gradual, Not-Implemented"
46,240,211,78,42,0,"Informative-all, Gradual, Not-Implemented"
47,240,211,78,42,0,"Informative-all, Gradual, Not-Implemented"
48,240,211,78,42,0,"Informative-all, Gradual, Not-Implemented"
49,240,211,78,42,0,"Informative-all, Gradual, Not-Implemented"
50,240,211,78,42,0,"Informative-all, Gradual, Not-Implemented"
51,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
52,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
53,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
54,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
55,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
56,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
57,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
58,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
59,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
60,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
61,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
62,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
63,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
64,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
65,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
66,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
67,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
68,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
69,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
70,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
71,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
72,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
73,240,211,77,43,0,"Informative-all, Gradual, Not-Implemented"
74,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
75,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
76,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
77,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
78,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
79,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
80,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
81,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
82,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
83,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
84,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
85,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
86,240,211,76,44,0,"Informative-all, Gradual, Not-Implemented"
87,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
88,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
89,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
90,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
91,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
92,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
93,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
94,240,211,75,45,0,"Informative-all, Gradual, Not-Implemented"
95,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
96,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
97,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
98,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
99,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
100,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
101,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
102,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
103,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
104,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
105,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
106,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
107,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
108,240,211,74,46,0,"Informative-all, Gradual, Not-Implemented"
1,211,232,103,32,0,"Informative-all, Gradual, Not-Implemented"
2,211,232,103,32,0,"Informative-all, Gradual, Not-Implemented"
3,211,232,103,32,0,"Informative-all, Gradual, Not-Implemented"
4,211,232,102,33,0,"Informative-all, Gradual, Not-Implemented"
5,211,232,101,34,0,"Informative-all, Gradual, Not-Implemented"
6,211,232,101,34,0,"Informative-all, Gradual, Not-Implemented"
7,211,232,101,34,0,"Informative-all, Gradual, Not-Implemented"
8,211,232,100,35,0,"Informative-all, Gradual, Not-Implemented"
9,211,232,100,35,0,"Informative-all, Gradual, Not-Implemented"
10,211,232,100,35,0,"Informative-all, Gradual, Not-Implemented"
11,211,232,100,35,0,"Informative-all, Gradual, Not-Implemented"
12,211,232,100,35,0,"Informative-all, Gradual, Not-Implemented"
13,211,232,100,35,0,"Informative-all, Gradual, Not-Implemented"
14,211,232,99,36,0,"Informative-all, Gradual, Not-Implemented"
15,211,232,99,36,0,"Informative-all, Gradual, Not-Implemented"
16,211,232,99,36,0,"Informative-all, Gradual, Not-Implemented"
17,211,232,99,36,0,"Informative-all, Gradual, Not-Implemented"
18,211,232,98,37,0,"Informative-all, Gradual, Not-Implemented"
19,211,232,98,37,0,"Informative-all, Gradual, Not-Implemented"
20,211,232,97,38,0,"Informative-all, Gradual, Not-Implemented"
21,211,232,97,38,0,"Informative-all, Gradual, Not-Implemented"
22,211,232,97,38,0,"Informative-all, Gradual, Not-Implemented"
23,211,232,97,38,0,"Informative-all, Gradual, Not-Implemented"
24,211,232,96,39,0,"Informative-all, Gradual, Not-Implemented"
25,211,232,96,39,0,"Informative-all, Gradual, Not-Implemented"
26,211,232,95,40,0,"Informative-all, Gradual, Not-Implemented"
27,211,232,95,40,0,"Informative-all, Gradual, Not-Implemented"
28,211,232,95,40,0,"Informative-all, Gradual, Not-Implemented"
29,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
30,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
31,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
32,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
33,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
34,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
35,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
36,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
37,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
38,211,232,93,42,0,"Informative-all, Gradual, Not-Implemented"
39,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
40,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
41,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
42,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
43,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
44,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
45,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
46,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
47,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
48,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
49,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
50,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
51,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
52,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
53,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
54,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
55,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
56,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
57,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
58,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
59,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
60,211,232,92,43,0,"Informative-all, Gradual, Not-Implemented"
61,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
62,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
63,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
64,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
65,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
66,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
67,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
68,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
69,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
70,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
71,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
72,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
73,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
74,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
75,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
76,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
77,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
78,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
79,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
80,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
81,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
82,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
83,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
84,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
85,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
86,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
87,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
88,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
89,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
90,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
91,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
92,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
93,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
94,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
95,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
96,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
97,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
98,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
99,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
100,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
101,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
102,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
103,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
104,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
105,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
106,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
107,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
108,211,232,91,44,0,"Informative-all, Gradual, Not-Implemented"
1,239,214,88,31,0,"Informative-all, Gradual, Not-Implemented"
2,239,214,87,32,0,"Informative-all, Gradual, Not-Implemented"
3,239,214,87,32,0,"Informative-all, Gradual, Not-Implemented"
4,239,214,87,32,0,"Informative-all, Gradual, Not-Implemented"
5,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
6,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
7,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
8,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
9,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
10,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
11,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
12,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
13,239,214,86,33,0,"Informative-all, Gradual, Not-Implemented"
14,239,214,85,34,0,"Informative-all, Gradual, Not-Implemented"
15,239,214,85,34,0,"Informative-all, Gradual, Not-Implemented"
16,239,214,85,34,0,"Informative-all, Gradual, Not-Implemented"
17,239,214,85,34,0,"Informative-all, Gradual, Not-Implemented"
18,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
19,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
20,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
21,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
22,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
23,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
24,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
25,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
26,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
27,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
28,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
29,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
30,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
31,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
32,239,214,84,35,0,"Informative-all, Gradual, Not-Implemented"
33,239,214,83,36,0,"Informative-all, Gradual, Not-Implemented"
34,239,214,83,36,0,"Informative-all, Gradual, Not-Implemented"
35,239,214,83,36,0,"Informative-all, Gradual, Not-Implemented"
36,239,214,83,36,0,"Informative-all, Gradual, Not-Implemented"
37,239,214,83,36,0,"Informative-all, Gradual, Not-Implemented"
38,239,214,83,36,0,"Informative-all, Gradual, Not-Implemented"
39,239,214,82,37,0,"Informative-all, Gradual, Not-Implemented"
40,239,214,82,37,0,"Informative-all, Gradual, Not-Implemented"
41,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
42,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
43,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
44,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
45,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
46,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
47,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
48,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
49,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
50,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
51,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
52,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
53,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
54,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
55,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
56,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
57,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
58,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
59,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
60,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
61,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
62,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
63,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
64,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
65,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
66,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
67,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
68,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
69,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
70,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
71,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
72,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
73,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
74,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
75,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
76,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
77,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
78,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
79,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
80,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
81,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
82,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
83,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
84,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
85,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
86,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
87,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
88,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
89,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
90,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
91,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
92,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
93,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
94,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
95,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
96,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
97,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
98,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
99,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
100,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
101,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
102,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
103,239,214,81,38,0,"Informative-all, Gradual, Not-Implemented"
104,239,214,80,39,0,"Informative-all, Gradual, Not-Implemented"
105,239,214,80,39,0,"Informative-all, Gradual, Not-Implemented"
106,239,214,80,39,0,"Informative-all, Gradual, Not-Implemented"
107,239,214,80,39,0,"Informative-all, Gradual, Not-Implemented"
108,239,214,80,39,0,"Informative-all, Gradual, Not-Implemented"
1,238,197,97,45,0,"No-learning, No-expansion, Implemented"
2,238,197,97,45,0,"No-learning, No-expansion, Implemented"
3,238,197,94,48,0,"No-learning, No-expansion, Implemented"
4,238,197,92,50,0,"No-learning, No-expansion, Implemented"
5,238,197,90,52,0,"No-learning, No-expansion, Implemented"
6,238,197,89,53,0,"No-learning, No-expansion, Implemented"
7,238,197,89,53,0,"No-learning, No-expansion, Implemented"
8,238,197,86,56,0,"No-learning, No-expansion, Implemented"
9,238,197,85,57,0,"No-learning, No-expansion, Implemented"
10,238,197,85,57,0,"No-learning, No-expansion, Implemented"
11,238,197,85,57,0,"No-learning, No-expansion, Implemented"
12,238,197,85,57,0,"No-learning, No-expansion, Implemented"
13,238,197,84,58,0,"No-learning, No-expansion, Implemented"
14,238,197,83,59,0,"No-learning, No-expansion, Implemented"
15,238,197,83,59,0,"No-learning, No-expansion, Implemented"
16,238,197,83,59,0,"No-learning, No-expansion, Implemented"
17,238,197,83,59,0,"No-learning, No-expansion, Implemented"
18,238,197,82,60,0,"No-learning, No-expansion, Implemented"
19,238,197,82,60,0,"No-learning, No-expansion, Implemented"
20,238,197,82,60,0,"No-learning, No-expansion, Implemented"
21,238,197,82,60,0,"No-learning, No-expansion, Implemented"
22,238,197,82,60,0,"No-learning, No-expansion, Implemented"
23,238,197,82,60,0,"No-learning, No-expansion, Implemented"
24,238,197,81,61,0,"No-learning, No-expansion, Implemented"
25,238,197,81,66,5,"No-learning, No-expansion, Implemented"
26,238,197,80,67,5,"No-learning, No-expansion, Implemented"
27,238,197,79,68,5,"No-learning, No-expansion, Implemented"
28,238,197,79,68,5,"No-learning, No-expansion, Implemented"
29,238,197,78,69,5,"No-learning, No-expansion, Implemented"
30,238,197,78,69,5,"No-learning, No-expansion, Implemented"
31,238,197,78,69,5,"No-learning, No-expansion, Implemented"
32,238,197,78,69,5,"No-learning, No-expansion, Implemented"
33,238,197,77,70,5,"No-learning, No-expansion, Implemented"
34,238,197,77,70,5,"No-learning, No-expansion, Implemented"
35,238,197,77,70,5,"No-learning, No-expansion, Implemented"
36,238,197,77,70,5,"No-learning, No-expansion, Implemented"
37,238,197,77,70,5,"No-learning, No-expansion, Implemented"
38,238,197,77,70,5,"No-learning, No-expansion, Implemented"
39,238,197,77,70,5,"No-learning, No-expansion, Implemented"
40,238,197,77,70,5,"No-learning, No-expansion, Implemented"
41,238,197,77,70,5,"No-learning, No-expansion, Implemented"
42,238,197,77,70,5,"No-learning, No-expansion, Implemented"
43,238,197,76,71,5,"No-learning, No-expansion, Implemented"
44,238,197,76,71,5,"No-learning, No-expansion, Implemented"
45,238,197,76,71,5,"No-learning, No-expansion, Implemented"
46,238,197,76,71,5,"No-learning, No-expansion, Implemented"
47,238,197,76,71,5,"No-learning, No-expansion, Implemented"
48,238,197,76,71,5,"No-learning, No-expansion, Implemented"
49,238,197,76,71,5,"No-learning, No-expansion, Implemented"
50,238,197,76,71,5,"No-learning, No-expansion, Implemented"
51,238,197,76,71,5,"No-learning, No-expansion, Implemented"
52,238,197,75,72,5,"No-learning, No-expansion, Implemented"
53,238,197,75,72,5,"No-learning, No-expansion, Implemented"
54,238,197,75,72,5,"No-learning, No-expansion, Implemented"
55,238,197,75,72,5,"No-learning, No-expansion, Implemented"
56,238,197,75,72,5,"No-learning, No-expansion, Implemented"
57,238,197,75,72,5,"No-learning, No-expansion, Implemented"
58,238,197,75,72,5,"No-learning, No-expansion, Implemented"
59,238,197,75,72,5,"No-learning, No-expansion, Implemented"
60,238,197,75,72,5,"No-learning, No-expansion, Implemented"
61,238,197,75,72,5,"No-learning, No-expansion, Implemented"
62,238,197,75,72,5,"No-learning, No-expansion, Implemented"
63,238,197,75,72,5,"No-learning, No-expansion, Implemented"
64,238,197,75,72,5,"No-learning, No-expansion, Implemented"
65,238,197,74,73,5,"No-learning, No-expansion, Implemented"
66,238,197,73,74,5,"No-learning, No-expansion, Implemented"
67,238,197,73,74,5,"No-learning, No-expansion, Implemented"
68,238,197,73,74,5,"No-learning, No-expansion, Implemented"
69,238,197,73,74,5,"No-learning, No-expansion, Implemented"
70,238,197,73,74,5,"No-learning, No-expansion, Implemented"
71,238,197,73,74,5,"No-learning, No-expansion, Implemented"
72,238,197,73,74,5,"No-learning, No-expansion, Implemented"
73,238,197,73,74,5,"No-learning, No-expansion, Implemented"
74,238,197,73,74,5,"No-learning, No-expansion, Implemented"
75,238,197,73,74,5,"No-learning, No-expansion, Implemented"
76,238,197,73,74,5,"No-learning, No-expansion, Implemented"
77,238,197,73,74,5,"No-learning, No-expansion, Implemented"
78,238,197,73,74,5,"No-learning, No-expansion, Implemented"
79,238,197,73,74,5,"No-learning, No-expansion, Implemented"
80,238,197,73,74,5,"No-learning, No-expansion, Implemented"
81,238,197,73,74,5,"No-learning, No-expansion, Implemented"
82,238,197,73,74,5,"No-learning, No-expansion, Implemented"
83,238,197,73,74,5,"No-learning, No-expansion, Implemented"
84,238,197,73,74,5,"No-learning, No-expansion, Implemented"
85,238,197,73,74,5,"No-learning, No-expansion, Implemented"
86,238,197,73,74,5,"No-learning, No-expansion, Implemented"
87,238,197,73,74,5,"No-learning, No-expansion, Implemented"
88,238,197,73,74,5,"No-learning, No-expansion, Implemented"
89,238,197,73,74,5,"No-learning, No-expansion, Implemented"
90,238,197,73,74,5,"No-learning, No-expansion, Implemented"
91,238,197,73,74,5,"No-learning, No-expansion, Implemented"
92,238,197,73,74,5,"No-learning, No-expansion, Implemented"
93,238,197,73,74,5,"No-learning, No-expansion, Implemented"
94,238,197,73,74,5,"No-learning, No-expansion, Implemented"
95,238,197,73,74,5,"No-learning, No-expansion, Implemented"
96,238,197,73,74,5,"No-learning, No-expansion, Implemented"
97,238,197,73,74,5,"No-learning, No-expansion, Implemented"
98,238,197,73,74,5,"No-learning, No-expansion, Implemented"
99,238,197,73,74,5,"No-learning, No-expansion, Implemented"
100,238,197,73,74,5,"No-learning, No-expansion, Implemented"
101,238,197,73,74,5,"No-learning, No-expansion, Implemented"
102,238,197,73,74,5,"No-learning, No-expansion, Implemented"
103,238,197,73,74,5,"No-learning, No-expansion, Implemented"
104,238,197,73,74,5,"No-learning, No-expansion, Implemented"
105,238,197,73,74,5,"No-learning, No-expansion, Implemented"
106,238,197,73,74,5,"No-learning, No-expansion, Implemented"
107,238,197,73,74,5,"No-learning, No-expansion, Implemented"
108,238,197,73,74,5,"No-learning, No-expansion, Implemented"
